|The Book of Basketball: The NBA According to The Sports Guy|
|Friday Night Lights: A Town, a Team, and a Dream|
|Sugar Rush (Offensive Line #2)|
|Settling the Score (The Summer Games #1)|
|Icing (Aces Hockey #2)|
